,Authors,Author(s) ID,Title,Affiliations,Authors with affiliations,Author Keywords
304,"mahadew r., appadoo k.a.",56731120700;57203864745;,Tourism and climate change in Mauritius: assessing the adaptation and mitigation plans and prospects,"Department of Law, University of Mauritius, Reduit, Mauritius","Mahadew, R., Department of Law, University of Mauritius, Reduit, Mauritius; Appadoo, K.A., Department of Law, University of Mauritius, Reduit, Mauritius",adaptation; climate change; mauritius; mitigation; tourism
305,"raimi k.t., maki a., dana d., vandenbergh m.p.",56206094300;56818597700;13310374000;9745962600;,Framing of Geoengineering Affects Support for Climate Change Mitigation,"Gerald R. Ford School of Public Policy, University of Michigan, Ann Arbor, United States; Vanderbilt Institute of Energy and Environment and Climate Change Research Network, Vanderbilt University, Nashville, United States; Northwestern University Pritzker School of Law, Chicago, United States; Vanderbilt University Law School, Nashville, United States","Raimi, K.T., Gerald R. Ford School of Public Policy, University of Michigan, Ann Arbor, United States; Maki, A., Vanderbilt Institute of Energy and Environment and Climate Change Research Network, Vanderbilt University, Nashville, United States; Dana, D., Northwestern University Pritzker School of Law, Chicago, United States; Vandenbergh, M.P., Vanderbilt University Law School, Nashville, United States",climate change; geoengineering; mitigation support; moral hazard; risk compensation
306,"hadadi o.a., lee s.",57202994852;57201360664;,The climate change mitigation potential of Algiers URT through mode shift from the car to rail–assessing CO 2 emissions reductions on the basis of savings in fuel consumption,"International School of Urban Sciences, University of SeoulSeoul, South Korea","Hadadi, O.A., International School of Urban Sciences, University of SeoulSeoul, South Korea; Lee, S., International School of Urban Sciences, University of SeoulSeoul, South Korea",algiers; carbon emission reductions; climate change mitigation from road transport; modal shift; sustainable transport
307,"d'arc bardella castro j., nogueira j.m.",57194575613;23098386700;,Regional specificities and climate change: Peculiarities of CO 2 emissions in the Mid-West Region of Brazil and their consequences for mitigation and adaptation policies [Especificidades Regionais e Mudança Climática: Peculiaridades das Emissões de CO 2 no Centro-Oeste do Brasil e suas Consequências para Políticas Mitigatórias e Adaptativas],"Universidade Estadual de Goiás, UEG, Brazil; Universidade de Brasília, UnB, Brazil","D'Arc Bardella Castro, J., Universidade Estadual de Goiás, UEG, Brazil; Nogueira, J.M., Universidade de Brasília, UnB, Brazil",adaptation; climate change; mitigation; regional aspects
308,"nguyen t.p.l., seddaiu g., roggero p.p.",55772739200;23499363900;7006016139;,Declarative or procedural knowledge? Knowledge for enhancing farmers’ mitigation and adaptation behaviour to climate change,"Department of Development and Sustainability, School of Environment, Development and Resources, Asian Institute of Technology (AIT), 58 Moo 9, Km.42, P.O. Box 4, Klong LuangPathumthani  12120, Thailand; Nucleo di Ricerca sulla Desertificazione (NRD), Dipartimento di Agraria, Università di Sassari, Viale Italia 39, Sassari, 07100, Italy","Nguyen, T.P.L., Department of Development and Sustainability, School of Environment, Development and Resources, Asian Institute of Technology (AIT), 58 Moo 9, Km.42, P.O. Box 4, Klong LuangPathumthani  12120, Thailand; Seddaiu, G., Nucleo di Ricerca sulla Desertificazione (NRD), Dipartimento di Agraria, Università di Sassari, Viale Italia 39, Sassari, 07100, Italy; Roggero, P.P., Nucleo di Ricerca sulla Desertificazione (NRD), Dipartimento di Agraria, Università di Sassari, Viale Italia 39, Sassari, 07100, Italy",attitude; farming systems; knowledge; practice; social construction
309,"forouli a., doukas h., nikas a., sampedro j., van de ven d.-j.",57201519614;8626662500;57190220801;57200075685;57193066523;,Identifying optimal technological portfolios for European power generation towards climate change mitigation: A robust portfolio analysis approach,"Decision Support Systems Laboratory, School of Electrical and Computer Engineering, National Technical University of Athens, Iroon Politechniou 9, Athens, 157 80, Greece; Basque Centre for Climate Change, Edificio Sede 1-1, Parque Científico de UPV/EHU, Leioa, 48940, Spain","Forouli, A., Decision Support Systems Laboratory, School of Electrical and Computer Engineering, National Technical University of Athens, Iroon Politechniou 9, Athens, 157 80, Greece; Doukas, H., Decision Support Systems Laboratory, School of Electrical and Computer Engineering, National Technical University of Athens, Iroon Politechniou 9, Athens, 157 80, Greece; Nikas, A., Decision Support Systems Laboratory, School of Electrical and Computer Engineering, National Technical University of Athens, Iroon Politechniou 9, Athens, 157 80, Greece; Sampedro, J., Basque Centre for Climate Change, Edificio Sede 1-1, Parque Científico de UPV/EHU, Leioa, 48940, Spain; Van de Ven, D.-J., Basque Centre for Climate Change, Edificio Sede 1-1, Parque Científico de UPV/EHU, Leioa, 48940, Spain",decision support; portfolio analysis; power generation; robustness; technology r&d; uncertainty
310,"komendantova n., schinko t., patt a.",35237029800;36100692400;6602116185;,De-risking policies as a substantial determinant of climate change mitigation costs in developing countries: Case study of the Middle East and North African region,"Advanced Systems Analysis Program, International Institute for Applied Systems Analysis (IIASA), Laxenburg, Austria; Climate Policy Group, Department of Environmental Systems Science, Institute for Environmental Decisions (ETH) – Swiss Federal Institute of Technology, Zurich, Switzerland; Wegener Center for Climate and Global Change, University of Graz, Austria","Komendantova, N., Advanced Systems Analysis Program, International Institute for Applied Systems Analysis (IIASA), Laxenburg, Austria, Climate Policy Group, Department of Environmental Systems Science, Institute for Environmental Decisions (ETH) – Swiss Federal Institute of Technology, Zurich, Switzerland; Schinko, T., Advanced Systems Analysis Program, International Institute for Applied Systems Analysis (IIASA), Laxenburg, Austria, Wegener Center for Climate and Global Change, University of Graz, Austria; Patt, A., Climate Policy Group, Department of Environmental Systems Science, Institute for Environmental Decisions (ETH) – Swiss Federal Institute of Technology, Zurich, Switzerland",de-risking approach; foreign direct investment; middle east and north african region; renewable energy sources
311,"landholm d.m., holsten a., martellozzo f., reusser d.e., kropp j.p.",57204525519;26667610100;54583950700;24832283300;55152323100;,Climate change mitigation potential of community-based initiatives in Europe,"Potsdam Institute for Climate Impact Research (PIK), Leibniz Association, Potsdam, Germany; Department of Economics and Management, University of Florence, Florence, Italy; Institute of Earth and Environmental Science, University of Potsdam, Potsdam, Germany","Landholm, D.M., Potsdam Institute for Climate Impact Research (PIK), Leibniz Association, Potsdam, Germany; Holsten, A., Potsdam Institute for Climate Impact Research (PIK), Leibniz Association, Potsdam, Germany; Martellozzo, F., Department of Economics and Management, University of Florence, Florence, Italy; Reusser, D.E., Potsdam Institute for Climate Impact Research (PIK), Leibniz Association, Potsdam, Germany; Kropp, J.P., Potsdam Institute for Climate Impact Research (PIK), Leibniz Association, Potsdam, Germany, Institute of Earth and Environmental Science, University of Potsdam, Potsdam, Germany",carbon footprint; grassroots initiatives; greenhouse gas emissions; low carbon economy; sustainability transitions; sustainable lifestyles
312,"de la sota c., ruffato-ferreira v.j., ruiz-garcía l., alvarez s.",56177201100;57192279065;15127684800;57192575015;,Urban green infrastructure as a strategy of climate change mitigation. A case study in northern Spain,"Innovation and Technology for Development Center, Universidad Politécnica de Madrid, Av. Complutense s/n, Madrid, 28040, Spain; International Virtual Institute of Global Changes, Federal University of Rio de Janeiro, Cidade Universitária, Pedro Calmon, 550, Rio de Janeiro, 21941-901, Brazil","De la Sota, C., Innovation and Technology for Development Center, Universidad Politécnica de Madrid, Av. Complutense s/n, Madrid, 28040, Spain; Ruffato-Ferreira, V.J., Innovation and Technology for Development Center, Universidad Politécnica de Madrid, Av. Complutense s/n, Madrid, 28040, Spain, International Virtual Institute of Global Changes, Federal University of Rio de Janeiro, Cidade Universitária, Pedro Calmon, 550, Rio de Janeiro, 21941-901, Brazil; Ruiz-García, L., Innovation and Technology for Development Center, Universidad Politécnica de Madrid, Av. Complutense s/n, Madrid, 28040, Spain; Alvarez, S., Innovation and Technology for Development Center, Universidad Politécnica de Madrid, Av. Complutense s/n, Madrid, 28040, Spain",biocapacity; carbon dioxide reduction; ecological footprint; sustainable urban development
313,"pratibha g., srinivas i., v. rao k., m.k. raju b., shanker a.k., jha a., uday kumar m., srinivasa rao k., sammi reddy k.",16025398300;36782929300;57205643777;57205646586;7005388955;57205644135;57213246155;57113228700;6507458792;,Identification of environment friendly tillage implement as a strategy for energy efficiency and mitigation of climate change in semiarid rainfed agro ecosystems,"Central Research Institute drylands Agriculture, Santoshnagar, Hyderabad  5000 59, India","Pratibha, G., Central Research Institute drylands Agriculture, Santoshnagar, Hyderabad  5000 59, India; Srinivas, I., Central Research Institute drylands Agriculture, Santoshnagar, Hyderabad  5000 59, India; V. Rao, K., Central Research Institute drylands Agriculture, Santoshnagar, Hyderabad  5000 59, India; M.K. Raju, B., Central Research Institute drylands Agriculture, Santoshnagar, Hyderabad  5000 59, India; Shanker, A.K., Central Research Institute drylands Agriculture, Santoshnagar, Hyderabad  5000 59, India; Jha, A., Central Research Institute drylands Agriculture, Santoshnagar, Hyderabad  5000 59, India; Uday Kumar, M., Central Research Institute drylands Agriculture, Santoshnagar, Hyderabad  5000 59, India; Srinivasa Rao, K., Central Research Institute drylands Agriculture, Santoshnagar, Hyderabad  5000 59, India; Sammi Reddy, K., Central Research Institute drylands Agriculture, Santoshnagar, Hyderabad  5000 59, India",clean environment; cleaner production; climate smart implement; energy use; global warming potential; greenhouse gas emissions; primary tillage
314,"sarkodie s.a., strezov v.",57105546200;6603143391;,"Economic, social and governance adaptation readiness for mitigation of climate change vulnerability: Evidence from 192 countries","Department of Environmental Sciences, Faculty of Science and Engineering, Macquarie UniversityNSW  2109, Australia","Sarkodie, S.A., Department of Environmental Sciences, Faculty of Science and Engineering, Macquarie UniversityNSW  2109, Australia; Strezov, V., Department of Environmental Sciences, Faculty of Science and Engineering, Macquarie UniversityNSW  2109, Australia",adaptation readiness; adaptive capacity; climate change; climate change exposure; climate change sensitivity; climate change vulnerability
315,"sapkota t.b., vetter s.h., jat m.l., sirohi s., shirsath p.b., singh r., jat h.s., smith p., hillier j., stirling c.m.",39061985100;54797176600;6602564835;15925745000;35076547700;57221126944;7801446851;57201748498;23034140500;7101990125;,Cost-effective opportunities for climate change mitigation in Indian agriculture,"International Maize and Wheat Improvement Centre (CIMMYT), NASC complex, New Delhi, 110012, India; Institute of Biological and Environmental Sciences, University of Aberdeen, Aberdeen, AB24 3UU, United Kingdom; Department of Dairy Economics, Statistics and Management, National Dairy Research Institute, Karnal, Haryana  132001, India; CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS), Borlaug Institute for South Asia (BISA)/CIMMYT, NASC Complex, New Delhi, 110012, India; ICAR-Agricultural Technology Application Research Institute (ATARI), Ludhiana, Punjab  141004, India; International Maize and Wheat Improvement Centre (CIMMYT), CSSRI, Karnal, India; Global Academy of Agriculture and Food Security, The Royal (Dick) School of Veterinary Studies and The Roslin Institute, Easter Bush Campus, Midlothian, EH25 9RG, United Kingdom; International Maize and Wheat Improvement Centre (CIMMYT), World Agroforestry Centre (ICRAF) House, United Nations Avenue, Gigiri P.O. Box 1041–00621, Nairobi, Kenya","Sapkota, T.B., International Maize and Wheat Improvement Centre (CIMMYT), NASC complex, New Delhi, 110012, India; Vetter, S.H., Institute of Biological and Environmental Sciences, University of Aberdeen, Aberdeen, AB24 3UU, United Kingdom; Jat, M.L., International Maize and Wheat Improvement Centre (CIMMYT), NASC complex, New Delhi, 110012, India; Sirohi, S., Department of Dairy Economics, Statistics and Management, National Dairy Research Institute, Karnal, Haryana  132001, India; Shirsath, P.B., CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS), Borlaug Institute for South Asia (BISA)/CIMMYT, NASC Complex, New Delhi, 110012, India; Singh, R., ICAR-Agricultural Technology Application Research Institute (ATARI), Ludhiana, Punjab  141004, India; Jat, H.S., International Maize and Wheat Improvement Centre (CIMMYT), CSSRI, Karnal, India; Smith, P., Institute of Biological and Environmental Sciences, University of Aberdeen, Aberdeen, AB24 3UU, United Kingdom; Hillier, J., Global Academy of Agriculture and Food Security, The Royal (Dick) School of Veterinary Studies and The Roslin Institute, Easter Bush Campus, Midlothian, EH25 9RG, United Kingdom; Stirling, C.M., International Maize and Wheat Improvement Centre (CIMMYT), World Agroforestry Centre (ICRAF) House, United Nations Avenue, Gigiri P.O. Box 1041–00621, Nairobi, Kenya",agriculture; climate change; greenhouse gas; india; marginal abatement cost curve; mitigation
316,"bösch m., elsasser p., rock j., weimar h., dieter m.",37111920600;55962597300;16239617800;55624004200;56264690900;,Extent and costs of forest-based climate change mitigation in Germany: accounting for substitution,"Thünen Institute of International Forestry and Forest Economics, Hamburg, Germany; Thünen Institute of Forest Ecosystems, Eberswalde, Germany","Bösch, M., Thünen Institute of International Forestry and Forest Economics, Hamburg, Germany; Elsasser, P., Thünen Institute of International Forestry and Forest Economics, Hamburg, Germany; Rock, J., Thünen Institute of Forest Ecosystems, Eberswalde, Germany; Weimar, H., Thünen Institute of International Forestry and Forest Economics, Hamburg, Germany; Dieter, M., Thünen Institute of International Forestry and Forest Economics, Hamburg, Germany",carbon sequestration; forestry; germany; scenario analysis; substitution effects
317,"nche g.c., achunike h.c., okoli a.b.",57190399831;57197874607;57197871953;,From climate change victims to climate change actors: The role of eco-parenting in building mitigation and adaptation capacities in children,"Department of Religion and Cultural Studies, University of Nigeria, Nsukka, Nigeria","Nche, G.C., Department of Religion and Cultural Studies, University of Nigeria, Nsukka, Nigeria; Achunike, H.C., Department of Religion and Cultural Studies, University of Nigeria, Nsukka, Nigeria; Okoli, A.B., Department of Religion and Cultural Studies, University of Nigeria, Nsukka, Nigeria",actors; adaptation; authoritative parenting model; children; climate change victims; eco-parenting; mitigation
318,"canal daza d.s., andrade c. h.j.",57196010706;56377487500;,"Mitigation-adaptation synergies of climate change of coffee (Coffea arabica) production sys-tems in Tolima, Colombia [Sinergias mitigación-adaptación al cambio climático en sistemas de producción de café (Coffea arabica), de Tolima, Colombia]","Grupo de Investigación PROECUT. Facultad de Ingeniería Agronómica, Universidad del Tolima, Barrio Santa Helena parte alta A.A 546, Ibagué, Tolima, Colombia","Canal Daza, D.S., Grupo de Investigación PROECUT. Facultad de Ingeniería Agronómica, Universidad del Tolima, Barrio Santa Helena parte alta A.A 546, Ibagué, Tolima, Colombia; Andrade C., H.J., Grupo de Investigación PROECUT. Facultad de Ingeniería Agronómica, Universidad del Tolima, Barrio Santa Helena parte alta A.A 546, Ibagué, Tolima, Colombia",agroforestry systems; ants; biomass; carbon footprint; diversity
319,gunderson r.,54966454300;,Work time reduction and economic democracy as climate change mitigation strategies: or why the climate needs a renewed labor movement,"Department of Sociology and Gerontology, Miami University, 375 Upham Hall, Oxford, OH  45056, United States","Gunderson, R., Department of Sociology and Gerontology, Miami University, 375 Upham Hall, Oxford, OH  45056, United States",degrowth; gorz; union renewal; work sharing; worker cooperatives; working time regulation
320,"puig d., bakhtiari f.",55983126700;57194456019;,Incorporating uncertainty in national-level climate change-mitigation policy: possible elements for a research agenda,"Technical University of Denmark, Marmorvej 51, Copenhagen Ø, 2100, Denmark","Puig, D., Technical University of Denmark, Marmorvej 51, Copenhagen Ø, 2100, Denmark; Bakhtiari, F., Technical University of Denmark, Marmorvej 51, Copenhagen Ø, 2100, Denmark",decision-support tools; government accountability; science-policy interface
321,"hein w., wilson c., lee b., rajapaksa d., de moel h., athukorala w., managi s.",57205210168;7404894763;16304102200;56955357200;16177642700;34167566300;13609873900;,Climate change and natural disasters: Government mitigation activities and public property demand response,"QUT Business School, Queensland University of Technology, Brisbane, Australia; Department of Forestry and Environmental Science, University of Sri Jayewardenepura, Colombo, Sri Lanka; Institute for Environmental Studies, VU University, Amsterdam, Netherlands; Department of Economics and Statistics, University of Peradeniya, Peradeniya, Sri Lanka; Urban Institute, Kyushu University, Fukuoka, Japan","Hein, W., QUT Business School, Queensland University of Technology, Brisbane, Australia; Wilson, C., QUT Business School, Queensland University of Technology, Brisbane, Australia; Lee, B., QUT Business School, Queensland University of Technology, Brisbane, Australia; Rajapaksa, D., Department of Forestry and Environmental Science, University of Sri Jayewardenepura, Colombo, Sri Lanka; de Moel, H., Institute for Environmental Studies, VU University, Amsterdam, Netherlands; Athukorala, W., Department of Economics and Statistics, University of Peradeniya, Peradeniya, Sri Lanka; Managi, S., QUT Business School, Queensland University of Technology, Brisbane, Australia, Urban Institute, Kyushu University, Fukuoka, Japan",beach erosion; climate change; cyclone; hedonic analysis; natural disaster
322,"keith h., vardon m., stein j.a., lindenmayer d.",7004753832;6603248019;36911147800;35510108300;,Contribution of native forests to climate change mitigation – A common approach to carbon accounting that aligns results from environmental-economic accounting with rules for emissions reduction,"Fenner School of Environment and Society, The Australian National University, Canberra, 2601, Australia; Griffith Climate Change Response Program, Griffith University, Queensland, 4222, Australia","Keith, H., Fenner School of Environment and Society, The Australian National University, Canberra, 2601, Australia, Griffith Climate Change Response Program, Griffith University, Queensland, 4222, Australia; Vardon, M., Fenner School of Environment and Society, The Australian National University, Canberra, 2601, Australia; Stein, J.A., Fenner School of Environment and Society, The Australian National University, Canberra, 2601, Australia; Lindenmayer, D., Fenner School of Environment and Society, The Australian National University, Canberra, 2601, Australia",carbon accounting; carbon storage and sequestration; climate change mitigation; environmental-economic accounting; forest management
323,"hălbac-cotoară-zamfir r., keesstra s., kalantari z.",37661474400;8510883000;21742320500;,"The impact of political, socio-economic and cultural factors on implementing environment friendly techniques for sustainable land management and climate change mitigation in Romania","Department of Overland Communication Ways, Foundations and Cadastral Survey, Politehnica University of Timișoara, Ioan Curea 1A, Timișoara, 300224, Romania; Soil Physics and Land Management Group, Wageningen University, Droevendaalsesteeg 4, Wageningen, 6708PB, Netherlands; Department of Physical Geography, Stockholm University, Stockholm, SE-106 91, Sweden","Hălbac-Cotoară-Zamfir, R., Department of Overland Communication Ways, Foundations and Cadastral Survey, Politehnica University of Timișoara, Ioan Curea 1A, Timișoara, 300224, Romania; Keesstra, S., Soil Physics and Land Management Group, Wageningen University, Droevendaalsesteeg 4, Wageningen, 6708PB, Netherlands; Kalantari, Z., Department of Physical Geography, Stockholm University, Stockholm, SE-106 91, Sweden",environmental friendly techniques; historical evolution; political changes; romanian traditions; socio-economic measures
324,"kung c.-c., chen l.-j., lee t.-j., jiang x., lin r.",53984474500;56506002400;20433969100;57203548305;57202248343;,Wind power potential for energy sustainability and climate change mitigation: A case study in Taiwan,"Institute for Advanced Studies in Finance and Economics at, Hubei University of Economics, Wuhan, China; Department of Finance at Feng Chia University, Taichung, Taiwan; Department of Information Management at National Penghu, University of Science & Technology, Penghu, Taiwan; School of International Trade and Economics, University of International Business and Economics, Beijing, China; Institute of Ecological Economics at Jiangxi University of Finance & Economics, Nanchang, China","Kung, C.-C., Institute for Advanced Studies in Finance and Economics at, Hubei University of Economics, Wuhan, China; Chen, L.-J., Department of Finance at Feng Chia University, Taichung, Taiwan; Lee, T.-J., Department of Information Management at National Penghu, University of Science & Technology, Penghu, Taiwan; Jiang, X., School of International Trade and Economics, University of International Business and Economics, Beijing, China; Lin, R., Institute of Ecological Economics at Jiangxi University of Finance & Economics, Nanchang, China",emission offset; renewable energy; sustainability; threshold regression; weibull distribution
325,"johnsson f., kjärstad j., rootzén j.",7006817882;15136121900;35174870700;,The threat to climate change mitigation posed by the abundance of fossil fuels,"Department of Energy and Environment, Chalmers University of Technology, Göteborg, Sweden","Johnsson, F., Department of Energy and Environment, Chalmers University of Technology, Göteborg, Sweden; Kjärstad, J., Department of Energy and Environment, Chalmers University of Technology, Göteborg, Sweden; Rootzén, J., Department of Energy and Environment, Chalmers University of Technology, Göteborg, Sweden",ccs; co2 mitigation; energy demand; fossil fuels; renewables
326,"roelich k., giesekam j.",55763179700;55803606800;,"Decision making under uncertainty in climate change mitigation: introducing multiple actor motivations, agency and influence","Sustainability Research Institute, School of Earth and Environment, University of Leeds, Leeds, United Kingdom; School of Civil Engineering, University of Leeds, Leeds, United Kingdom","Roelich, K., Sustainability Research Institute, School of Earth and Environment, University of Leeds, Leeds, United Kingdom, School of Civil Engineering, University of Leeds, Leeds, United Kingdom; Giesekam, J., Sustainability Research Institute, School of Earth and Environment, University of Leeds, Leeds, United Kingdom",actors; adaptive policies; climate change mitigation; decision making; policy making; uncertainty
327,"liles m.j., peterson t.r., seminoff j.a., gaos a.r., altamirano e., henríquez a.v., gadea v., chavarría s., urteaga j., wallace b.p., peterson m.j.",37080986300;7202318051;6602089815;36009760200;56576197600;56576084300;55625080400;57195480449;37082058900;7202576113;7402271293;,Potential limitations of behavioral plasticity and the role of egg relocation in climate change mitigation for a thermally sensitive endangered species,"Asociación ProCosta, San Salvador, El Salvador; Department of Communication, Environmental Science and Engineering Program, University of Texas at El Paso, El Paso, TX, United States; National Oceanic and Atmospheric Administration – National Marine Fisheries Service, Southwest Fisheries Science Center, La Jolla, CA, United States; Department of Biology, San Diego State University, San Diego, CA, United States; Fauna and Flora International, Managua, Nicaragua; School of Earth, Energy & Environmental Sciences, Stanford University, Stanford, United States; Conservation Science Partners, Inc., Fort Collins, CO, United States; Nicholas School of the Environment, Duke University Marine Lab, Beaufort, NC, United States; Department of Biological Sciences, University of Texas at El Paso, El Paso, TX, United States; Eastern Pacific Hawksbill Initiative, San Diego, CA, United States","Liles, M.J., Asociación ProCosta, San Salvador, El Salvador, Eastern Pacific Hawksbill Initiative, San Diego, CA, United States; Peterson, T.R., Department of Communication, Environmental Science and Engineering Program, University of Texas at El Paso, El Paso, TX, United States; Seminoff, J.A., National Oceanic and Atmospheric Administration – National Marine Fisheries Service, Southwest Fisheries Science Center, La Jolla, CA, United States, Eastern Pacific Hawksbill Initiative, San Diego, CA, United States; Gaos, A.R., Department of Biology, San Diego State University, San Diego, CA, United States, Eastern Pacific Hawksbill Initiative, San Diego, CA, United States; Altamirano, E., Fauna and Flora International, Managua, Nicaragua, Eastern Pacific Hawksbill Initiative, San Diego, CA, United States; Henríquez, A.V., Asociación ProCosta, San Salvador, El Salvador, Eastern Pacific Hawksbill Initiative, San Diego, CA, United States; Gadea, V., Fauna and Flora International, Managua, Nicaragua, Eastern Pacific Hawksbill Initiative, San Diego, CA, United States; Chavarría, S., Asociación ProCosta, San Salvador, El Salvador, Eastern Pacific Hawksbill Initiative, San Diego, CA, United States; Urteaga, J., School of Earth, Energy & Environmental Sciences, Stanford University, Stanford, United States, Eastern Pacific Hawksbill Initiative, San Diego, CA, United States; Wallace, B.P., Conservation Science Partners, Inc., Fort Collins, CO, United States, Nicholas School of the Environment, Duke University Marine Lab, Beaufort, NC, United States, Eastern Pacific Hawksbill Initiative, San Diego, CA, United States; Peterson, M.J., Department of Biological Sciences, University of Texas at El Paso, El Paso, TX, United States",egg relocation; environmental policy; mangrove estuaries; nest-site selection; reproductive behavior; sand temperature; sea turtle; sea-level rise; species redistribution; temperature-dependent sex determination
328,"ho h.c., abbas s., yang j., zhu r., wong m.s.",56222256500;55234716000;56009762200;56754542900;57210337677;,Spatiotemporal prediction of increasing winter perceived temperature across a sub-tropical city for sustainable planning and climate change mitigation,"Department of Urban Planning and Design, The University of Hong Kong, Hong Kong; Department of Land Surveying and Geo-Informatics, The Hong Kong Polytechnic University, Kowloon, Hong Kong; School of Geographic Sciences, Guangzhou University, Guangzhou, 510000, China; Senseable City Laboratory, Singapore-MIT Alliance for Research and Technology, Singapore; Research Institute for Sustainable Urban Development, The Hong Kong Polytechnic University, Hong Kong","Ho, H.C., Department of Urban Planning and Design, The University of Hong Kong, Hong Kong, Department of Land Surveying and Geo-Informatics, The Hong Kong Polytechnic University, Kowloon, Hong Kong; Abbas, S., Department of Land Surveying and Geo-Informatics, The Hong Kong Polytechnic University, Kowloon, Hong Kong; Yang, J., School of Geographic Sciences, Guangzhou University, Guangzhou, 510000, China; Zhu, R., Senseable City Laboratory, Singapore-MIT Alliance for Research and Technology, Singapore; Wong, M.S., Department of Land Surveying and Geo-Informatics, The Hong Kong Polytechnic University, Kowloon, Hong Kong, Research Institute for Sustainable Urban Development, The Hong Kong Polytechnic University, Hong Kong",climate change; community design; socioeconomic deprivation; sustainable planning; urban morphology
329,"ortega-pacheco d.v., keeler a.g., jiang s.",56419994900;6603592444;55457273900;,Climate change mitigation policy in Ecuador: Effects of land-use competition and transaction costs,"ESPOL Polytechnic University, Escuela Superior Politécnica del Litoral, ESPOL, Facultad de Ciencias de la Vida, Campus Gustavo Galindo, Km. 30.5 Vía Perimetral, P.O. Box 09-01-5863, Guayaquil, Ecuador; Department of Coastal Studies, East Carolina University, 850 NC 345, Wanchese, NC  27981, United States; Department of Geography and Planning, University at Albany, State University of New York, Arts and Sciences 227, 1400 Washington Ave, Albany, NY  12222, United States","Ortega-Pacheco, D.V., ESPOL Polytechnic University, Escuela Superior Politécnica del Litoral, ESPOL, Facultad de Ciencias de la Vida, Campus Gustavo Galindo, Km. 30.5 Vía Perimetral, P.O. Box 09-01-5863, Guayaquil, Ecuador; Keeler, A.G., Department of Coastal Studies, East Carolina University, 850 NC 345, Wanchese, NC  27981, United States; Jiang, S., Department of Geography and Planning, University at Albany, State University of New York, Arts and Sciences 227, 1400 Washington Ave, Albany, NY  12222, United States",climate policy; conservation payments; deforestation
330,"gi k., sano f., hayashi a., akimoto k.",54781263100;16319687000;7202111268;7103331758;,A model-based analysis on energy systems transition for climate change mitigation and ambient particulate matter 2.5 concentration reduction,"Research Institute of Innovative Technology for the Earth, 9-2 Kizugawadai, Kizugawa-shi, Kyoto, 619-0292, Japan","Gi, K., Research Institute of Innovative Technology for the Earth, 9-2 Kizugawadai, Kizugawa-shi, Kyoto, 619-0292, Japan; Sano, F., Research Institute of Innovative Technology for the Earth, 9-2 Kizugawadai, Kizugawa-shi, Kyoto, 619-0292, Japan; Hayashi, A., Research Institute of Innovative Technology for the Earth, 9-2 Kizugawadai, Kizugawa-shi, Kyoto, 619-0292, Japan; Akimoto, K., Research Institute of Innovative Technology for the Earth, 9-2 Kizugawadai, Kizugawa-shi, Kyoto, 619-0292, Japan",climate change mitigation; co-benefit; cost-efficient measures; energy systems; pm2.5 concentration reduction
331,"wang b., cui c.-q., zhao y.-x., chen m., yuan x.-c.",55710778700;57201068197;8576266200;57203539217;55438199300;,Climate change mitigation in the coal mining industry: low-carbon pathways and mine safety indicators,"Beijing Key Laboratory for Precise Mining of Intergrown Energy and Resources, China University of Mining and Technology (Beijing), Beijing, 100083, China; College of Resources and Safety Engineering, China University of Mining and Technology (Beijing), Beijing, 100083, China; Center for Energy and Environmental Policy Research, Beijing Institute of Technology, Beijing, 100081, China; School of Management and Economics, Beijing Institute of Technology, Beijing, 100081, China","Wang, B., Beijing Key Laboratory for Precise Mining of Intergrown Energy and Resources, China University of Mining and Technology (Beijing), Beijing, 100083, China, College of Resources and Safety Engineering, China University of Mining and Technology (Beijing), Beijing, 100083, China, Center for Energy and Environmental Policy Research, Beijing Institute of Technology, Beijing, 100081, China; Cui, C.-Q., Beijing Key Laboratory for Precise Mining of Intergrown Energy and Resources, China University of Mining and Technology (Beijing), Beijing, 100083, China, College of Resources and Safety Engineering, China University of Mining and Technology (Beijing), Beijing, 100083, China; Zhao, Y.-X., Beijing Key Laboratory for Precise Mining of Intergrown Energy and Resources, China University of Mining and Technology (Beijing), Beijing, 100083, China, College of Resources and Safety Engineering, China University of Mining and Technology (Beijing), Beijing, 100083, China; Chen, M., College of Resources and Safety Engineering, China University of Mining and Technology (Beijing), Beijing, 100083, China; Yuan, X.-C., Center for Energy and Environmental Policy Research, Beijing Institute of Technology, Beijing, 100081, China, School of Management and Economics, Beijing Institute of Technology, Beijing, 100081, China",bibliometric analysis; carbon emissions; coal mine gas; coal mining; low-carbon development
